Model: gaussian_naive_bayes
Accuracy: 0.48773661713820476
Mean Squared Error: 579.7940158762467
Confusion Matrix (as DataFrame):
      0    1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83
0   9214  263  45   9   2  13  14   3   0   2   3   1   0   5   1   0   0   1   0   0   0   0   1   4   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   1   0   0  26   0   0  69   4   0   1   0   0   0   0   0
1    867  216  49  11   1  25   8   2   0   8   1   0   1   2   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  34   0   0  60   1   0   0   0   0   0   0   0
2    473  184  47  10   2  18  11   8   0   3   4   0   1   6   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  39   0   0  54   1   0   0   0   0   0   0   0
3    278  179  57   9   2  16  12   3   0   4   6   0   1   4   2   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  35   0   0  62   1   0   0   0   0   0   0   0
4    220  122  58  16   1  21   6   0   0   7   5   0   2   9   2   0   0   0   0   0   0   0   0   5   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  45   0   0  51   2   0   0   0   0   0   0   0
5    163  120  48  11   1  21   6   4   0   1   5   0   1   6   4   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  50   0   0  56   2   0   0   0   0   0   0   0
6     87   92  44  11   3  21  13   1   0   4   6   0   3   6   4   0   1   2   0   0   0   0   0   1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  51   0   0  55   0   0   0   0   1   0   0   0
7     75   87  35  14   0  25  12   4   0   4   9   0   1  18   5   0   0   2   0   2   0   0   0   2   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0  54   0   0  50   2   0   0   0   0   0   0   0
8     60   79  34  12   2  28  16   6   1   6   8   0   5  10   0   0   0   0   0   0   0   0   1   4   0   0   0   3   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  59   0   0  55   2   0   0   0   0   0   0   0
9     56   50  26   9   0  12   9   8   0   5   7   0   2   9   6   0   0   2   0   0   0   0   0   3   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  45   0   0  52   0   0   0   0   1   1   0   0
